Number,State,Value,Param dt_criterion,Param dt_max_depth,Param dt_max_features,Param dt_min_samples_leaf,Param dt_min_samples_split,Param dt_splitter,Param encoder_type,Param model,Param rf_bootstrap,Param rf_max_depth,Param rf_max_features,Param rf_min_samples_leaf,Param rf_min_samples_split,Param rf_n_estimators,Param xgb_colsample_bytree,Param xgb_gamma,Param xgb_learning_rate,Param xgb_max_depth,Param xgb_min_child_weight,Param xgb_n_estimators,Param xgb_reg_alpha,Param xgb_reg_lambda,Param xgb_subsample
62,COMPLETE,0.9270934794932115,,,,,,,Target,RandomForest,False,49,sqrt,1,10,550,,,,,,,,,
63,COMPLETE,0.9280079815568194,,,,,,,Target,RandomForest,False,50,sqrt,1,10,550,,,,,,,,,
64,COMPLETE,0.9277319067085675,,,,,,,Target,RandomForest,False,48,sqrt,1,10,550,,,,,,,,,
65,COMPLETE,0.9270814476287654,,,,,,,Target,RandomForest,False,45,sqrt,1,10,550,,,,,,,,,
66,COMPLETE,0.9273465986874653,,,,,,,Target,RandomForest,False,48,sqrt,1,10,550,,,,,,,,,
67,COMPLETE,0.9280677174258444,,,,,,,Target,RandomForest,False,48,sqrt,1,10,600,,,,,,,,,
68,COMPLETE,0.8679670138803414,squared_error,35,,4,7,random,Freq,DecisionTree,,,,,,,,,,,,,,,
69,COMPLETE,0.9209202935639077,,,,,,,Count,RandomForest,False,48,sqrt,1,10,700,,,,,,,,,
70,COMPLETE,0.9194675504602783,,,,,,,Target,RandomForest,False,47,log2,1,10,600,,,,,,,,,
71,COMPLETE,0.9267682093234751,,,,,,,Target,RandomForest,False,44,sqrt,1,10,600,,,,,,,,,
72,COMPLETE,0.9279966453705256,,,,,,,Target,RandomForest,False,46,sqrt,1,10,550,,,,,,,,,
73,COMPLETE,0.9271731068226102,,,,,,,Target,RandomForest,False,48,sqrt,1,10,550,,,,,,,,,
74,COMPLETE,0.926752420760946,,,,,,,Target,RandomForest,False,42,sqrt,1,10,600,,,,,,,,,
75,COMPLETE,0.928902779667283,,,,,,,Target,RandomForest,False,50,sqrt,1,5,550,,,,,,,,,
76,COMPLETE,0.8754279297359036,,,,,,,Target,RandomForest,False,50,,1,6,500,,,,,,,,,
77,COMPLETE,0.9256603763929357,,,,,,,Target,XGBoost,,,,,,,0.5936117855180681,1.6332185510594686,0.012986714928648113,11,3.3129341097785256,750,5.4909128476895095,0.00026887760118958276,0.8836383868658204
78,COMPLETE,0.9284965536929248,,,,,,,Target,RandomForest,False,19,sqrt,1,5,700,,,,,,,,,
79,COMPLETE,0.9286509316089383,,,,,,,Target,RandomForest,False,18,sqrt,1,5,700,,,,,,,,,
80,COMPLETE,0.9241799231193801,,,,,,,Target,RandomForest,True,18,sqrt,1,5,750,,,,,,,,,
